# state	expected_P_or_N	fixture_id	provenance_jsonl_line
0000000000000000000020002000000022	P	oracle_00049	49
0000000000000000000200000200000022	P	oracle_00050	50
0000000000000000002000000020000022	P	oracle_00051	51
0000000000000000020000000020000022	P	oracle_00052	52
0000000000000000020000000200000022	P	oracle_00053	53
0000000000000000020000002000000022	P	oracle_00054	54
0000000000000000020000020000000022	P	oracle_00055	55
0000000000000000020000200000000022	P	oracle_00056	56
0000000000000000200000000200000022	P	oracle_00057	57
0000000000000000200000002000000022	P	oracle_00058	58
0000000000000002000000002000000022	P	oracle_00059	59
0000000000000020000000020000000022	P	oracle_00060	60
0000000000000020000000200000000022	P	oracle_00061	61
0000000000000200000000200000000022	P	oracle_00062	62
0000000000000000000000000010000224	N	oracle_00063	63
0000000000000000000000000020000124	N	oracle_00064	64
0000000000000000000000000020000223	N	oracle_00065	65
0000000000000000000000000100000224	N	oracle_00066	66
0000000000000000000000000120000033	N	oracle_00067	67
0000000000000000000000000120000222	N	oracle_00068	68
0000000000000000000000000200000124	N	oracle_00069	69
0000000000000000000000000200000223	N	oracle_00070	70
0000000000000000000000000210000033	N	oracle_00071	71
0000000000000000000000000210000222	N	oracle_00072	72
0000000000000000000000000220000023	N	oracle_00073	73
0000000000000000000000000220000122	N	oracle_00074	74
0000000000000000000000000230000022	N	oracle_00075	75
0000000000000000000000000320000022	N	oracle_00076	76
0000000000000000000000000330000012	N	oracle_00077	77
0000000000000000000000001000000224	N	oracle_00078	78
0000000000000000000000001020000033	N	oracle_00079	79
0000000000000000000000001020000222	N	oracle_00080	80
0000000000000000000000001200000033	N	oracle_00081	81
0000000000000000000000001200000222	N	oracle_00082	82
0000000000000000000000002000000124	N	oracle_00083	83
0000000000000000000000002000000223	N	oracle_00084	84
0000000000000000000000002010000033	N	oracle_00085	85
0000000000000000000000002010000222	N	oracle_00086	86
0000000000000000000000002020000023	N	oracle_00087	87
0000000000000000000000002020000122	N	oracle_00088	88
0000000000000000000000002030000022	N	oracle_00089	89
0000000000000000000000002100000033	N	oracle_00090	90
0000000000000000000000002100000222	N	oracle_00091	91
0000000000000000000000002200000023	N	oracle_00092	92
0000000000000000000000002200000122	N	oracle_00093	93
0000000000000000000000002300000022	N	oracle_00094	94
0000000000000000000000003020000022	N	oracle_00095	95
0000000000000000000000003030000012	N	oracle_00096	96
0000000000000000000000003200000022	N	oracle_00097	97
0000000000000000000000003300000012	N	oracle_00098	98
0000000000000000000000010000000224	N	oracle_00099	99
0000000000000000000000010020000033	N	oracle_00100	100
0000000000000000000000010020000222	N	oracle_00101	101
0000000000000000000000010200000033	N	oracle_00102	102
0000000000000000000000010200000222	N	oracle_00103	103
0000000000000000000000010220000022	N	oracle_00104	104
0000000000000000000000012000000033	N	oracle_00105	105
0000000000000000000000012000000222	N	oracle_00106	106
0000000000000000000000012020000022	N	oracle_00107	107
0000000000000000000000020000000124	N	oracle_00108	108
0000000000000000000000020000000223	N	oracle_00109	109
0000000000000000000000020010000033	N	oracle_00110	110
0000000000000000000000020010000222	N	oracle_00111	111
0000000000000000000000020020000023	N	oracle_00112	112
0000000000000000000000020020000122	N	oracle_00113	113
0000000000000000000000020030000022	N	oracle_00114	114
0000000000000000000000020100000033	N	oracle_00115	115
0000000000000000000000020100000222	N	oracle_00116	116
0000000000000000000000020120000022	N	oracle_00117	117
0000000000000000000000020200000023	N	oracle_00118	118
0000000000000000000000020200000122	N	oracle_00119	119
0000000000000000000000020210000022	N	oracle_00120	120
0000000000000000000000020220000012	N	oracle_00121	121
0000000000000000000000020300000022	N	oracle_00122	122
0000000000000000000000021000000033	N	oracle_00123	123
0000000000000000000000021000000222	N	oracle_00124	124
0000000000000000000000021020000022	N	oracle_00125	125
0000000000000000000000022000000023	N	oracle_00126	126
0000000000000000000000022000000122	N	oracle_00127	127
0000000000000000000000022010000022	N	oracle_00128	128
0000000000000000000000022020000012	N	oracle_00129	129
0000000000000000000000023000000022	N	oracle_00130	130
0000000000000000000000030020000022	N	oracle_00131	131
0000000000000000000000030030000012	N	oracle_00132	132
0000000000000000000000030200000022	N	oracle_00133	133
0000000000000000000000030300000012	N	oracle_00134	134
0000000000000000000000032000000022	N	oracle_00135	135
0000000000000000000000033000000012	N	oracle_00136	136
0000000000000000000000100000000224	N	oracle_00137	137
0000000000000000000000100020000033	N	oracle_00138	138
0000000000000000000000100020000222	N	oracle_00139	139
0000000000000000000000100200000033	N	oracle_00140	140
0000000000000000000000100200000222	N	oracle_00141	141
0000000000000000000000100220000022	N	oracle_00142	142
0000000000000000000000102000000033	N	oracle_00143	143
0000000000000000000000102000000222	N	oracle_00144	144
0000000000000000000000102200000022	N	oracle_00145	145
0000000000000000000000120000000033	N	oracle_00146	146
0000000000000000000000120000000222	N	oracle_00147	147
0000000000000000000000120200000022	N	oracle_00148	148
0000000000000000000000122000000022	N	oracle_00149	149
0000000000000000000000200000000124	N	oracle_00150	150
0000000000000000000000200000000223	N	oracle_00151	151
0000000000000000000000200010000033	N	oracle_00152	152
0000000000000000000000200010000222	N	oracle_00153	153
0000000000000000000000200020000023	N	oracle_00154	154
0000000000000000000000200020000122	N	oracle_00155	155
0000000000000000000000200030000022	N	oracle_00156	156
0000000000000000000000200100000033	N	oracle_00157	157
0000000000000000000000200100000222	N	oracle_00158	158
0000000000000000000000200120000022	N	oracle_00159	159
0000000000000000000000200200000023	N	oracle_00160	160
0000000000000000000000200200000122	N	oracle_00161	161
0000000000000000000000200210000022	N	oracle_00162	162
0000000000000000000000200220000012	N	oracle_00163	163
0000000000000000000000200300000022	N	oracle_00164	164
0000000000000000000000201000000033	N	oracle_00165	165
0000000000000000000000201000000222	N	oracle_00166	166
0000000000000000000000201200000022	N	oracle_00167	167
0000000000000000000000202000000023	N	oracle_00168	168
0000000000000000000000202000000122	N	oracle_00169	169
0000000000000000000000202100000022	N	oracle_00170	170
0000000000000000000000202200000012	N	oracle_00171	171
0000000000000000000000203000000022	N	oracle_00172	172
0000000000000000000000210000000033	N	oracle_00173	173
0000000000000000000000210000000222	N	oracle_00174	174
0000000000000000000000210200000022	N	oracle_00175	175
0000000000000000000000212000000022	N	oracle_00176	176
0000000000000000000000220000000023	N	oracle_00177	177
0000000000000000000000220000000122	N	oracle_00178	178
0000000000000000000000220100000022	N	oracle_00179	179
0000000000000000000000220200000012	N	oracle_00180	180
0000000000000000000000221000000022	N	oracle_00181	181
0000000000000000000000222000000012	N	oracle_00182	182
0000000000000000000000230000000022	N	oracle_00183	183
0000000000000000000000300020000022	N	oracle_00184	184
0000000000000000000000300030000012	N	oracle_00185	185
0000000000000000000000300200000022	N	oracle_00186	186
0000000000000000000000300300000012	N	oracle_00187	187
0000000000000000000000302000000022	N	oracle_00188	188
0000000000000000000000303000000012	N	oracle_00189	189
0000000000000000000000320000000022	N	oracle_00190	190
0000000000000000000000330000000012	N	oracle_00191	191
0000000000000000000001000020000033	N	oracle_00192	192
0000000000000000000001000020000222	N	oracle_00193	193
0000000000000000000001000200000033	N	oracle_00194	194
0000000000000000000001000200000222	N	oracle_00195	195
0000000000000000000001000220000022	N	oracle_00196	196
0000000000000000000001002000000033	N	oracle_00197	197
0000000000000000000001002000000222	N	oracle_00198	198
0000000000000000000001002020000022	N	oracle_00199	199
0000000000000000000001002200000022	N	oracle_00200	200
0000000000000000000001020000000033	N	oracle_00201	201
0000000000000000000001020000000222	N	oracle_00202	202
0000000000000000000001020020000022	N	oracle_00203	203
0000000000000000000001020200000022	N	oracle_00204	204
0000000000000000000001022000000022	N	oracle_00205	205
0000000000000000000001100200000023	N	oracle_00206	206
0000000000000000000001102000000023	N	oracle_00207	207
0000000000000000000001120000000023	N	oracle_00208	208
0000000000000000000001200100000023	N	oracle_00209	209
0000000000000000000001200200000013	N	oracle_00210	210
0000000000000000000001200200000022	N	oracle_00211	211
0000000000000000000001201000000023	N	oracle_00212	212
0000000000000000000001202000000013	N	oracle_00213	213
0000000000000000000001202000000022	N	oracle_00214	214
0000000000000000000002000010000033	N	oracle_00215	215
0000000000000000000002000010000222	N	oracle_00216	216
0000000000000000000002000020000023	N	oracle_00217	217
0000000000000000000002000020000122	N	oracle_00218	218
0000000000000000000002000030000022	N	oracle_00219	219
0000000000000000000002000100000033	N	oracle_00220	220
0000000000000000000002000100000222	N	oracle_00221	221
0000000000000000000002000120000022	N	oracle_00222	222
0000000000000000000002000200000023	N	oracle_00223	223
0000000000000000000002000200000122	N	oracle_00224	224
0000000000000000000002000210000022	N	oracle_00225	225
0000000000000000000002000220000012	N	oracle_00226	226
0000000000000000000002000300000022	N	oracle_00227	227
0000000000000000000002001000000033	N	oracle_00228	228
0000000000000000000002001000000222	N	oracle_00229	229
0000000000000000000002001020000022	N	oracle_00230	230
0000000000000000000002001200000022	N	oracle_00231	231
0000000000000000000002002000000023	N	oracle_00232	232
0000000000000000000002002000000122	N	oracle_00233	233
0000000000000000000002002010000022	N	oracle_00234	234
0000000000000000000002002020000012	N	oracle_00235	235
0000000000000000000002002100000022	N	oracle_00236	236
0000000000000000000002002200000012	N	oracle_00237	237
0000000000000000000002003000000022	N	oracle_00238	238
0000000000000000000002010020000022	N	oracle_00239	239
0000000000000000000002010200000022	N	oracle_00240	240
0000000000000000000002012000000022	N	oracle_00241	241
0000000000000000000002020000000023	N	oracle_00242	242
0000000000000000000002020000000122	N	oracle_00243	243
0000000000000000000002020010000022	N	oracle_00244	244
0000000000000000000002020020000012	N	oracle_00245	245
0000000000000000000002020100000022	N	oracle_00246	246
0000000000000000000002020200000012	N	oracle_00247	247
0000000000000000000002021000000022	N	oracle_00248	248
0000000000000000000002022000000012	N	oracle_00249	249
0000000000000000000002030000000022	N	oracle_00250	250
0000000000000000000002100100000023	N	oracle_00251	251
0000000000000000000002100200000013	N	oracle_00252	252
0000000000000000000002100200000022	N	oracle_00253	253
0000000000000000000002120000000013	N	oracle_00254	254
0000000000000000000002120000000022	N	oracle_00255	255
0000000000000000000003000020000022	N	oracle_00256	256
0000000000000000000003000030000012	N	oracle_00257	257
0000000000000000000003000200000022	N	oracle_00258	258
0000000000000000000003000300000012	N	oracle_00259	259
0000000000000000000003002000000022	N	oracle_00260	260
0000000000000000000003003000000012	N	oracle_00261	261
0000000000000000000003030000000012	N	oracle_00262	262
0000000000000000000010000020000033	N	oracle_00263	263
0000000000000000000010000020000222	N	oracle_00264	264
0000000000000000000010000200000033	N	oracle_00265	265
0000000000000000000010000200000222	N	oracle_00266	266
0000000000000000000010002000000033	N	oracle_00267	267
0000000000000000000010002000000222	N	oracle_00268	268
0000000000000000000010002020000022	N	oracle_00269	269
0000000000000000000010002200000022	N	oracle_00270	270
0000000000000000000010012000000023	N	oracle_00271	271
0000000000000000000010020020000022	N	oracle_00272	272
0000000000000000000010020200000022	N	oracle_00273	273
0000000000000000000010200020000022	N	oracle_00274	274
0000000000000000000010200200000022	N	oracle_00275	275
0000000000000000000010202000000022	N	oracle_00276	276
0000000000000000000011002000000023	N	oracle_00277	277
0000000000000000000012000200000022	N	oracle_00278	278
0000000000000000000020000010000033	N	oracle_00279	279
0000000000000000000020000010000222	N	oracle_00280	280
0000000000000000000020000020000023	N	oracle_00281	281
0000000000000000000020000020000122	N	oracle_00282	282
0000000000000000000020000030000022	N	oracle_00283	283
0000000000000000000020000100000033	N	oracle_00284	284
0000000000000000000020000100000222	N	oracle_00285	285
0000000000000000000020000200000023	N	oracle_00286	286
0000000000000000000020000200000122	N	oracle_00287	287
0000000000000000000020000300000022	N	oracle_00288	288
0000000000000000000020001020000022	N	oracle_00289	289
0000000000000000000020001200000022	N	oracle_00290	290
0000000000000000000020002000000023	N	oracle_00291	291
0000000000000000000020002000000122	N	oracle_00292	292
0000000000000000000020002010000022	N	oracle_00293	293
0000000000000000000020002020000012	N	oracle_00294	294
0000000000000000000020002100000022	N	oracle_00295	295
0000000000000000000020002200000012	N	oracle_00296	296
0000000000000000000020003000000022	N	oracle_00297	297
0000000000000000000020010020000022	N	oracle_00298	298
0000000000000000000020010200000022	N	oracle_00299	299
0000000000000000000020012000000013	N	oracle_00300	300
0000000000000000000020012000000022	N	oracle_00301	301
0000000000000000000020020010000022	N	oracle_00302	302
0000000000000000000020020020000012	N	oracle_00303	303
0000000000000000000020020100000022	N	oracle_00304	304
0000000000000000000020020200000012	N	oracle_00305	305
0000000000000000000020100020000022	N	oracle_00306	306
0000000000000000000020100200000022	N	oracle_00307	307
0000000000000000000020102000000022	N	oracle_00308	308
0000000000000000000020200010000022	N	oracle_00309	309
0000000000000000000020200020000012	N	oracle_00310	310
0000000000000000000020200100000022	N	oracle_00311	311
0000000000000000000020200200000012	N	oracle_00312	312
0000000000000000000020202000000012	N	oracle_00313	313
0000000000000000000021000200000022	N	oracle_00314	314
0000000000000000000022000100000022	N	oracle_00315	315
0000000000000000000022000200000012	N	oracle_00316	316
0000000000000000000030000020000022	N	oracle_00317	317
0000000000000000000030000030000012	N	oracle_00318	318
0000000000000000000030000200000022	N	oracle_00319	319
0000000000000000000030000300000012	N	oracle_00320	320
0000000000000000000030003000000012	N	oracle_00321	321
0000000000000000000100000020000033	N	oracle_00322	322
0000000000000000000100000020000222	N	oracle_00323	323
0000000000000000000100000200000033	N	oracle_00324	324
0000000000000000000100000200000222	N	oracle_00325	325
0000000000000000000100000220000022	N	oracle_00326	326
0000000000000000000100002020000022	N	oracle_00327	327
0000000000000000000100002200000022	N	oracle_00328	328
0000000000000000000100020020000022	N	oracle_00329	329
0000000000000000000100020200000022	N	oracle_00330	330
0000000000000000000100200020000022	N	oracle_00331	331
0000000000000000000100200200000022	N	oracle_00332	332
0000000000000000000102000020000022	N	oracle_00333	333
0000000000000000000102000200000022	N	oracle_00334	334
0000000000000000000120000020000022	N	oracle_00335	335
0000000000000000000120000200000022	N	oracle_00336	336
0000000000000000000200000010000033	N	oracle_00337	337
0000000000000000000200000010000222	N	oracle_00338	338
0000000000000000000200000020000023	N	oracle_00339	339
0000000000000000000200000020000122	N	oracle_00340	340
0000000000000000000200000030000022	N	oracle_00341	341
0000000000000000000200000120000022	N	oracle_00342	342
0000000000000000000200000200000023	N	oracle_00343	343
0000000000000000000200000200000122	N	oracle_00344	344
0000000000000000000200000210000022	N	oracle_00345	345
0000000000000000000200000220000012	N	oracle_00346	346
0000000000000000000200000300000022	N	oracle_00347	347
0000000000000000000200001020000022	N	oracle_00348	348
0000000000000000000200001200000022	N	oracle_00349	349
0000000000000000000200002010000022	N	oracle_00350	350
0000000000000000000200002020000012	N	oracle_00351	351
0000000000000000000200002200000012	N	oracle_00352	352
0000000000000000000200010020000022	N	oracle_00353	353
0000000000000000000200010200000022	N	oracle_00354	354
0000000000000000000200020010000022	N	oracle_00355	355
0000000000000000000200020020000012	N	oracle_00356	356
0000000000000000000200020200000012	N	oracle_00357	357
0000000000000000000200100020000022	N	oracle_00358	358
0000000000000000000200100200000022	N	oracle_00359	359
0000000000000000000200200010000022	N	oracle_00360	360
0000000000000000000200200020000012	N	oracle_00361	361
0000000000000000000200200200000012	N	oracle_00362	362
0000000000000000000201000020000022	N	oracle_00363	363
0000000000000000000202000010000022	N	oracle_00364	364
0000000000000000000202000020000012	N	oracle_00365	365
0000000000000000000210000020000022	N	oracle_00366	366
0000000000000000000220000010000022	N	oracle_00367	367
0000000000000000000220000020000012	N	oracle_00368	368
0000000000000000000300000020000022	N	oracle_00369	369
0000000000000000000300000030000012	N	oracle_00370	370
0000000000000000000300000300000012	N	oracle_00371	371
0000000000000000001000000020000033	N	oracle_00372	372
0000000000000000001000000020000222	N	oracle_00373	373
0000000000000000001000000120000023	N	oracle_00374	374
0000000000000000001000002020000022	N	oracle_00375	375
0000000000000000001000020020000022	N	oracle_00376	376
0000000000000000001000200020000022	N	oracle_00377	377
0000000000000000001002000020000022	N	oracle_00378	378
0000000000000000001020000020000022	N	oracle_00379	379
0000000000000000001100000020000023	N	oracle_00380	380
0000000000000000002000000020000023	N	oracle_00381	381
0000000000000000002000000020000122	N	oracle_00382	382
0000000000000000002000000030000022	N	oracle_00383	383
0000000000000000002000000120000013	N	oracle_00384	384
0000000000000000002000000120000022	N	oracle_00385	385
0000000000000000002000001020000022	N	oracle_00386	386
0000000000000000002000002020000012	N	oracle_00387	387
0000000000000000002000010020000022	N	oracle_00388	388
0000000000000000002000020020000012	N	oracle_00389	389
0000000000000000002000100020000022	N	oracle_00390	390
0000000000000000002000200020000012	N	oracle_00391	391
0000000000000000003000000030000012	N	oracle_00392	392
0000000000000000010000000020000033	N	oracle_00393	393
0000000000000000010000000020000222	N	oracle_00394	394
0000000000000000010000000200000033	N	oracle_00395	395
0000000000000000010000000200000222	N	oracle_00396	396
0000000000000000010000000220000022	N	oracle_00397	397
0000000000000000010000002000000033	N	oracle_00398	398
0000000000000000010000002000000222	N	oracle_00399	399
0000000000000000010000002020000022	N	oracle_00400	400
0000000000000000010000002200000022	N	oracle_00401	401
0000000000000000010000020000000033	N	oracle_00402	402
0000000000000000010000020000000222	N	oracle_00403	403
0000000000000000010000020020000022	N	oracle_00404	404
0000000000000000010000020200000022	N	oracle_00405	405
0000000000000000010000022000000022	N	oracle_00406	406
0000000000000000010000200000000033	N	oracle_00407	407
0000000000000000010000200000000222	N	oracle_00408	408
0000000000000000010000200020000022	N	oracle_00409	409
0000000000000000010000200200000022	N	oracle_00410	410
0000000000000000010000202000000022	N	oracle_00411	411
0000000000000000010000220000000022	N	oracle_00412	412
0000000000000000010002000020000022	N	oracle_00413	413
0000000000000000010002000200000022	N	oracle_00414	414
0000000000000000010002002000000022	N	oracle_00415	415
0000000000000000010002020000000022	N	oracle_00416	416
0000000000000000010020000020000022	N	oracle_00417	417
0000000000000000010020000200000022	N	oracle_00418	418
0000000000000000010020002000000022	N	oracle_00419	419
0000000000000000010200000020000022	N	oracle_00420	420
0000000000000000010200000200000022	N	oracle_00421	421
0000000000000000012000000020000022	N	oracle_00422	422
0000000000000000020000000020000023	N	oracle_00423	423
0000000000000000020000000020000122	N	oracle_00424	424
0000000000000000020000000030000022	N	oracle_00425	425
0000000000000000020000000100000033	N	oracle_00426	426
0000000000000000020000000100000222	N	oracle_00427	427
0000000000000000020000000120000022	N	oracle_00428	428
0000000000000000020000000200000023	N	oracle_00429	429
0000000000000000020000000200000122	N	oracle_00430	430
0000000000000000020000000210000022	N	oracle_00431	431
0000000000000000020000000220000012	N	oracle_00432	432
0000000000000000020000000300000022	N	oracle_00433	433
0000000000000000020000001000000033	N	oracle_00434	434
0000000000000000020000001000000222	N	oracle_00435	435
0000000000000000020000001020000022	N	oracle_00436	436
0000000000000000020000001200000022	N	oracle_00437	437
0000000000000000020000002000000023	N	oracle_00438	438
0000000000000000020000002000000122	N	oracle_00439	439
0000000000000000020000002010000022	N	oracle_00440	440
0000000000000000020000002020000012	N	oracle_00441	441
0000000000000000020000002100000022	N	oracle_00442	442
0000000000000000020000002200000012	N	oracle_00443	443
0000000000000000020000003000000022	N	oracle_00444	444
0000000000000000020000010000000033	N	oracle_00445	445
0000000000000000020000010000000222	N	oracle_00446	446
0000000000000000020000010020000022	N	oracle_00447	447
0000000000000000020000010200000022	N	oracle_00448	448
0000000000000000020000012000000022	N	oracle_00449	449
0000000000000000020000020000000023	N	oracle_00450	450
0000000000000000020000020000000122	N	oracle_00451	451
0000000000000000020000020010000022	N	oracle_00452	452
0000000000000000020000020020000012	N	oracle_00453	453
0000000000000000020000020100000022	N	oracle_00454	454
0000000000000000020000020200000012	N	oracle_00455	455
0000000000000000020000021000000022	N	oracle_00456	456
0000000000000000020000022000000012	N	oracle_00457	457
0000000000000000020000030000000022	N	oracle_00458	458
0000000000000000020000100000000033	N	oracle_00459	459
0000000000000000020000100000000222	N	oracle_00460	460
0000000000000000020000100020000022	N	oracle_00461	461
0000000000000000020000100200000022	N	oracle_00462	462
0000000000000000020000102000000022	N	oracle_00463	463
0000000000000000020000120000000022	N	oracle_00464	464
0000000000000000020000200000000023	N	oracle_00465	465
0000000000000000020000200000000122	N	oracle_00466	466
0000000000000000020000200010000022	N	oracle_00467	467
0000000000000000020000200020000012	N	oracle_00468	468
0000000000000000020000200100000022	N	oracle_00469	469
0000000000000000020000200200000012	N	oracle_00470	470
0000000000000000020000201000000022	N	oracle_00471	471
0000000000000000020000202000000012	N	oracle_00472	472
0000000000000000020000210000000022	N	oracle_00473	473
0000000000000000020000220000000012	N	oracle_00474	474
0000000000000000020000300000000022	N	oracle_00475	475
0000000000000000020001000020000022	N	oracle_00476	476
0000000000000000020001000200000022	N	oracle_00477	477
0000000000000000020001002000000022	N	oracle_00478	478
0000000000000000020001020000000022	N	oracle_00479	479
0000000000000000020002000010000022	N	oracle_00480	480
0000000000000000020002000020000012	N	oracle_00481	481
0000000000000000020002000100000022	N	oracle_00482	482
0000000000000000020002000200000012	N	oracle_00483	483
0000000000000000020002001000000022	N	oracle_00484	484
0000000000000000020002002000000012	N	oracle_00485	485
0000000000000000020002020000000012	N	oracle_00486	486
0000000000000000020010000020000022	N	oracle_00487	487
0000000000000000020010000200000022	N	oracle_00488	488
0000000000000000020010002000000022	N	oracle_00489	489
0000000000000000020020000010000022	N	oracle_00490	490
0000000000000000020020000020000012	N	oracle_00491	491
0000000000000000020020000100000022	N	oracle_00492	492
0000000000000000020020000200000012	N	oracle_00493	493
0000000000000000020020002000000012	N	oracle_00494	494
0000000000000000020100000020000022	N	oracle_00495	495
0000000000000000020100000200000022	N	oracle_00496	496
0000000000000000020200000010000022	N	oracle_00497	497
0000000000000000020200000020000012	N	oracle_00498	498
0000000000000000020200000200000012	N	oracle_00499	499
0000000000000000021000000020000022	N	oracle_00500	500
0000000000000000022000000020000012	N	oracle_00501	501
0000000000000000030000000030000012	N	oracle_00502	502
0000000000000000030000000200000022	N	oracle_00503	503
0000000000000000030000000300000012	N	oracle_00504	504
0000000000000000030000002000000022	N	oracle_00505	505
0000000000000000030000003000000012	N	oracle_00506	506
0000000000000000030000020000000022	N	oracle_00507	507
0000000000000000030000030000000012	N	oracle_00508	508
0000000000000000030000200000000022	N	oracle_00509	509
0000000000000000030000300000000012	N	oracle_00510	510
0000000000000000100000000200000033	N	oracle_00511	511
0000000000000000100000000200000222	N	oracle_00512	512
0000000000000000100000000220000022	N	oracle_00513	513
0000000000000000100000002000000033	N	oracle_00514	514
0000000000000000100000002000000222	N	oracle_00515	515
0000000000000000100000002020000022	N	oracle_00516	516
0000000000000000100000002200000022	N	oracle_00517	517
0000000000000000100000020000000033	N	oracle_00518	518
0000000000000000100000020000000222	N	oracle_00519	519
0000000000000000100000020020000022	N	oracle_00520	520
0000000000000000100000020200000022	N	oracle_00521	521
0000000000000000100000022000000022	N	oracle_00522	522
0000000000000000100000200000000033	N	oracle_00523	523
0000000000000000100000200000000222	N	oracle_00524	524
0000000000000000100000200020000022	N	oracle_00525	525
0000000000000000100000200200000022	N	oracle_00526	526
0000000000000000100000202000000022	N	oracle_00527	527
0000000000000000100002000020000022	N	oracle_00528	528
0000000000000000100002000200000022	N	oracle_00529	529
0000000000000000100002002000000022	N	oracle_00530	530
0000000000000000100002020000000022	N	oracle_00531	531
0000000000000000100020000020000022	N	oracle_00532	532
0000000000000000100020000200000022	N	oracle_00533	533
0000000000000000100020002000000022	N	oracle_00534	534
0000000000000000100200000020000022	N	oracle_00535	535
0000000000000000100200000200000022	N	oracle_00536	536
0000000000000000102000000020000022	N	oracle_00537	537
0000000000000000120000000200000022	N	oracle_00538	538
0000000000000000120000002000000022	N	oracle_00539	539
0000000000000000120000020000000022	N	oracle_00540	540
0000000000000000120000200000000022	N	oracle_00541	541
0000000000000000200000000200000023	N	oracle_00542	542
0000000000000000200000000200000122	N	oracle_00543	543
0000000000000000200000000210000022	N	oracle_00544	544
0000000000000000200000000220000012	N	oracle_00545	545
0000000000000000200000000300000022	N	oracle_00546	546
0000000000000000200000001000000033	N	oracle_00547	547
0000000000000000200000001000000222	N	oracle_00548	548
0000000000000000200000001020000022	N	oracle_00549	549
0000000000000000200000001200000022	N	oracle_00550	550
0000000000000000200000002000000023	N	oracle_00551	551
0000000000000000200000002000000122	N	oracle_00552	552
0000000000000000200000002010000022	N	oracle_00553	553
0000000000000000200000002020000012	N	oracle_00554	554
0000000000000000200000002100000022	N	oracle_00555	555
0000000000000000200000002200000012	N	oracle_00556	556
0000000000000000200000003000000022	N	oracle_00557	557
0000000000000000200000010000000033	N	oracle_00558	558
0000000000000000200000010000000222	N	oracle_00559	559
0000000000000000200000010020000022	N	oracle_00560	560
0000000000000000200000010200000022	N	oracle_00561	561
0000000000000000200000012000000022	N	oracle_00562	562
0000000000000000200000020000000023	N	oracle_00563	563
0000000000000000200000020000000122	N	oracle_00564	564
0000000000000000200000020010000022	N	oracle_00565	565
0000000000000000200000020020000012	N	oracle_00566	566
0000000000000000200000020100000022	N	oracle_00567	567
0000000000000000200000020200000012	N	oracle_00568	568
0000000000000000200000021000000022	N	oracle_00569	569
0000000000000000200000022000000012	N	oracle_00570	570
0000000000000000200000030000000022	N	oracle_00571	571
0000000000000000200000100000000033	N	oracle_00572	572
0000000000000000200000100000000222	N	oracle_00573	573
0000000000000000200000100020000022	N	oracle_00574	574
0000000000000000200000100200000022	N	oracle_00575	575
0000000000000000200000102000000022	N	oracle_00576	576
0000000000000000200000200000000023	N	oracle_00577	577
0000000000000000200000200000000122	N	oracle_00578	578
0000000000000000200000200010000022	N	oracle_00579	579
0000000000000000200000200020000012	N	oracle_00580	580
